order,character,strongly_like,like,neutral,dislike,strongly_dislike,sr,count,gender,show,type_(currently_inaccurate),like total,dislike total,score,abs_score,checking,ENT
242,EMH Julian Bashir,0.512,0.279,0.085,0.012,0.016,0.097,258,m,LD,,0.791,0.028,1.259,1.259,1.001,FALSE
243,Armus,0.067,0.089,0.071,0.201,0.487,0.085,224,?,"TNG, LD",,0.156,0.688,-0.952,0.952,1,FALSE
244,Alexander Rozhenko,0.23,0.402,0.224,0.086,0.031,0.028,326,m,"TNG, DS9",,0.632,0.117,0.714,0.714,1.001,FALSE
245,Sito Jaxa,0.329,0.387,0.116,0.012,0,0.156,173,f,"TNG, LD",,0.716,0.012,1.033,1.033,1,FALSE
246,"""Janeway""",0.038,0.053,0.137,0.305,0.145,0.321,131,m,VOY,,0.091,0.45,-0.466,0.466,0.999,FALSE
247,V'ger,0.135,0.254,0.31,0.071,0.024,0.206,126,?,films,,0.389,0.095,0.405,0.405,1,FALSE
248,Ensign Taurik,0.12,0.268,0.317,0.063,0.042,0.19,142,m,TNG,,0.388,0.105,0.361,0.361,1,FALSE
249,Senator Letant,0.042,0.132,0.396,0.09,0.028,0.312,144,m,DS9,,0.174,0.118,0.07,0.07,1,FALSE
250,Senator Vreenak,0.172,0.265,0.256,0.107,0.042,0.158,215,m,DS9,,0.437,0.149,0.418,0.418,1,FALSE
251,Captain Vanik,0.011,0.032,0.16,0.138,0.032,0.628,94,m,ENT,,0.043,0.17,-0.148,0.148,1.001,TRUE
252,Doctor Oratt,0.031,0.031,0.112,0.112,0.061,0.653,98,m,ENT,,0.062,0.173,-0.141,0.141,1,TRUE
253,Lieutenant Nyota Uhura,0.307,0.391,0.187,0.049,0.013,0.053,225,f,AOS,,0.698,0.062,0.93,0.93,1,FALSE
254,"Admiral Alonzo ""Zo"" Freeman",0.149,0.455,0.172,0.015,0.007,0.201,134,m,LD,,0.604,0.022,0.724,0.724,0.999,FALSE
255,Captain Amina Ramsey,0.192,0.392,0.108,0.023,0.008,0.277,130,f,LD,,0.584,0.031,0.737,0.737,1,FALSE
256,Ensign Pavel A. Chekov,0.61,0.245,0.087,0.004,0.012,0.041,241,m,AOS,,0.855,0.016,1.437,1.437,0.999,FALSE
257,Lieutenant Matt,0.366,0.289,0.148,0.021,0.021,0.155,142,m,LD,,0.655,0.042,0.958,0.958,1,FALSE
258,Stephen Hawking (Hologram),0.367,0.207,0.233,0.04,0.04,0.113,150,m,TNG,,0.574,0.08,0.821,0.821,1,FALSE
259,Joran Dax,0.047,0.163,0.307,0.214,0.107,0.163,215,m,DS9,,0.21,0.321,-0.171,0.171,1.001,FALSE
260,Dax,0.483,0.312,0.114,0.037,0.02,0.034,298,?,DS9,,0.795,0.057,1.201,1.201,1,FALSE
261,Sonya Gomez,0.29,0.451,0.093,0.019,0.006,0.142,162,f,"TNG, LD",,0.741,0.025,1,1,1.001,FALSE
262,Nomad,0.156,0.341,0.26,0.092,0.035,0.116,173,?,TOS,,0.497,0.127,0.491,0.491,1,FALSE
263,Mot,0.26,0.407,0.16,0.033,0.013,0.127,150,m,TNG,,0.667,0.046,0.868,0.868,1,FALSE
264,Doctor Mark Piper,0.049,0.122,0.382,0.081,0.008,0.358,123,m,TOS,,0.171,0.089,0.123,0.123,1,FALSE
265,Malor,0.355,0.347,0.065,0,0.016,0.218,124,m,LD,,0.702,0.016,1.025,1.025,1.001,FALSE
266,Vice Admiral Les Buenamigo,0.008,0.058,0.142,0.333,0.183,0.275,120,m,LD,,0.066,0.516,-0.625,0.625,0.999,FALSE
267,Asencia,0.078,0.163,0.092,0.177,0.092,0.397,141,f,PRO,,0.241,0.269,-0.042,0.042,0.999,FALSE
268,Goran'Agar,0.258,0.495,0.086,0.015,0.01,0.136,198,m,DS9,,0.753,0.025,0.976,0.976,1,FALSE
269,Guinan,0.707,0.173,0.048,0.012,0.016,0.044,249,f,TNG,,0.88,0.028,1.543,1.543,1,FALSE
270,Ikat'ika,0.082,0.293,0.299,0.122,0.048,0.156,147,m,DS9,,0.375,0.17,0.239,0.239,1,FALSE
